Festival name,Date,State/UT,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Last Updated
Rama Navami,2025-04-10,Manipur,Kakching,7.8,Clear,68,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Manipur,Imphal West,7.5,Clear,65,5.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Mizoram,Serchhip,11.9,Clear,52,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Telangana,Hyderabad,20.4,Mist,88,11.9,2025-01-23 23:00:00
Rama Navami,2025-04-10,Nagaland,Kohima,8.7,Clear,52,5.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Nagaland,Mon,16.1,Patchy rain nearby,78,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Nagaland,Tuensang,6.8,Mist,97,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Nagaland,Zunheboto,9.2,Clear,88,4.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Angul,18.7,Clear,54,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Bargarh,21.6,Clear,28,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Bhadrak,20.4,Clear,88,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Cuttack,21.3,Mist,94,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Dhenkanal,21.3,Mist,94,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Odisha,Ganjam,19.5,Clear,82,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Punjab,Amritsar,10.3,Mist,82,9.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Punjab,Ferozepur,11.4,Clear,32,10.1,2025-01-23 23:00:00
Rama Navami,2025-04-10,Punjab,Gurdaspur,10.4,Clear,41,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Rajasthan,Bikaner,16.4,Clear,33,11.9,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Chittoor,18.5,Clear,93,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Manipur,Churachandpur,8.5,Clear,71,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Anantapur,22.1,Clear,64,14.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Visakhapatnam,23.3,Clear,67,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Darbhanga,14.8,Clear,54,7.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Arunachal Pradesh,Upper Subansiri,17.7,Mist,94,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Charkhi Dadri,14.1,Clear,37,8.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Faridabad,15.0,Mist,72,9.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Fatehabad,13.4,Clear,40,12.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Aurangabad,21.3,Mist,73,12.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Arwal,15.2,Mist,94,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Hisar,14.4,Clear,36,12.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Jhajjar,15.0,Mist,72,10.1,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Jind,13.0,Clear,38,11.9,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Kaithal,11.9,Clear,41,9.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Bilaspur,18.1,Clear,34,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Chamba,3.1,Clear,38,14.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Hamirpur,17.2,Clear,64,10.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Kangra,7.6,Clear,42,8.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Araria,15.8,Clear,52,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Lahaul and Spiti,-27.3,Mist,96,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Mandi,7.5,Clear,48,8.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Shimla,8.8,Clear,56,7.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Dhubri,17.3,Clear,60,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Himachal Pradesh,Sirmaur,17.4,Clear,58,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Bokaro,18.0,Clear,42,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Chatra,15.4,Clear,54,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Deoghar,17.4,Clear,46,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Dhanbad,19.0,Clear,40,6.1,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Dumka,17.2,Clear,44,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Banka,15.7,Clear,52,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Bhiwani,14.1,Clear,37,8.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Begusarai,14.5,Clear,57,5.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Goa,South Goa,24.6,Clear,66,13.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Balod,18.4,Clear,28,4.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Baloda Bazar,19.7,Clear,30,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Balrampur,15.7,Clear,56,13.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Bastar,18.2,Clear,32,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Bemetara,19.7,Clear,30,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Bijapur,24.4,Clear,29,14.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Bilaspur,18.1,Clear,34,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Buxar,15.3,Clear,62,7.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Dhamtari,18.4,Clear,28,4.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Chhattisgarh,Durg,20.6,Clear,28,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Goa,North Goa,24.6,Clear,66,13.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Ahmedabad,21.4,Overcast,40,16.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Haryana,Ambala,12.3,Clear,42,12.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Amreli,18.8,Clear,37,18.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Anand,18.1,Clear,33,14.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Arunachal Pradesh,West Siang,18.3,Clear,34,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Bhojpur,14.2,Clear,47,9.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Banaskantha,15.5,Clear,36,13.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,Bhagalpur,15.3,Clear,55,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Bharuch,20.2,Clear,35,13.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Bhavnagar,20.2,Clear,43,21.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Botad,19.6,Clear,34,22.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Chhota Udaipur,14.7,Clear,37,8.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Gujarat,Dahod,18.9,Clear,36,10.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,East Singhbhum,19.4,Clear,86,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Garhwa,17.2,Clear,54,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Giridih,18.0,Clear,43,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Biswanath,20.7,Clear,74,9.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Jharkhand,Godda,15.7,Clear,52,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Dhule,22.8,Clear,36,13.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Ashoknagar,16.6,Clear,63,15.5,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Balaghat,19.6,Clear,34,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Betul,19.1,Clear,47,4.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Bhind,16.8,Partly Cloudy,60,14.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Bhopal,16.9,Clear,61,13.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Burhanpur,20.8,Clear,42,9.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Srikakulam,20.8,Clear,78,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Ahmednagar,22.8,Clear,27,9.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Akola,23.1,Clear,30,6.5,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Palakkad,24.1,Mist,69,11.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Barpeta,15.4,Clear,73,6.5,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Amravati,22.8,Clear,30,8.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Aurangabad,21.3,Mist,73,12.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Kurnool,21.8,Clear,66,16.9,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Krishna,22.3,Mist,88,10.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Guntur,22.3,Mist,88,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Bhandara,21.7,Clear,30,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Baksa,12.8,Partly Cloudy,74,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,East Godavari,19.4,Clear,86,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Maharashtra,Chandrapur,22.3,Clear,38,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Andhra Pradesh,Vizianagaram,19.9,Clear,77,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Madhya Pradesh,Anuppur,17.2,Clear,46,4.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Malappuram,26.2,Mist,79,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Chikkamagaluru,18.1,Clear,56,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Bagalkot,23.4,Clear,35,13.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Ballari,22.4,Clear,59,17.3,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Belagavi,22.3,Clear,47,9.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Bengaluru Rural,20.2,Mist,78,14.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Bengaluru Urban,20.2,Mist,78,14.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Bidar,21.1,Clear,48,13.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Dhemaji,18.2,Mist,88,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Arunachal Pradesh,Tawang,0.2,Partly Cloudy,87,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Darrang,18.9,Clear,64,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Assam,Bongaigaon,16.6,Clear,75,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Bihar,East Champaran,19.4,Clear,86,3.6,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Idukki,19.7,Partly Cloudy,92,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Kannur,24.0,Clear,86,6.5,2025-01-23 23:00:00
Rama Navami,2025-04-10,Karnataka,Chitradurga,22.3,Clear,47,13.7,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Kozhikode,26.2,Mist,79,5.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Alappuzha,26.3,Clear,75,9.4,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Kottayam,23.2,Clear,89,4.0,2025-01-23 23:00:00
Rama Navami,2025-04-10,Arunachal Pradesh,East Siang,18.3,Clear,34,6.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Kollam,26.4,Clear,70,11.2,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Ernakulam,27.3,Mist,66,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Kerala,Kasaragod,26.2,Clear,74,5.8,2025-01-23 23:00:00
Rama Navami,2025-04-10,Meghalaya,West Garo Hills,9.7,Clear,21,6.5,2025-01-23 22:30:00
Rama Navami,2025-04-10,Arunachal Pradesh,Kurung Kumey,-21.5,Light snow,93,22.0,2025-01-23 22:30:00
Rama Navami,2025-04-10,Meghalaya,West Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Rama Navami,2025-04-10,Meghalaya,East Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Rama Navami,2025-04-10,Meghalaya,Ri Bhoi,16.4,Clear,26,8.3,2025-01-23 22:30:00
Rama Navami,2025-04-10,Meghalaya,South Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Rama Navami,2025-04-10,Maharashtra,Beed,13.2,Clear,44,3.6,2025-01-23 21:00:00
Rama Navami,2025-04-10,Arunachal Pradesh,Kra Daadi,30.5,Clear,29,16.9,2025-01-23 20:30:00
Rama Navami,2025-04-10,Himachal Pradesh,Kullu,26.6,Clear,13,15.5,2025-01-23 19:30:00
Rama Navami,2025-04-10,Nagaland,Peren,6.2,Partly cloudy,75,35.3,2025-01-23 18:45:00
Rama Navami,2025-04-10,Meghalaya,South Garo Hills,29.2,Mist,23,16.2,2025-01-23 18:30:00
Rama Navami,2025-04-10,Arunachal Pradesh,Papum Pare,38.2,Sunny,23,6.5,2025-01-23 17:30:00
Rama Navami,2025-04-10,Arunachal Pradesh,Lower Subansiri,-7.8,Sunny,37,11.5,2025-01-23 12:30:00
Rama Navami,2025-04-10,Uttarakhand,Nainital,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Androth,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Aminidivi,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Manipur,Jiribam,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Odisha,Boudh,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Minicoy,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Odisha,Gajapati,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Rajasthan,Chittorgarh,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Suheli,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Kalapeni,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Tamil Nadu,Kallakurichi,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Telangana,Jayashankar Bhupalapally,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Telangana,Kamareddy,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,West Bengal,Birbhum,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Tripura,Sepahijala,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,West Bengal,Alipurduar,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Tripura,Unakoti,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Lakshadweep,Bithra,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rama Navami,2025-04-10,Andhra Pradesh,Prakasam,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Maharashtra,Gadchiroli,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Assam,Cachar,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Nagaland,Longleng,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Assam,Charaideo,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Maharashtra,Buldhana,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Manipur,Noney,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Manipur,Pherzawl,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Mizoram,Champhai,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Mizoram,Kolasib,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Nagaland,Kiphire,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Manipur,Kamjong,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Karnataka,Chikkaballapur,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Punjab,Bathinda,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Himachal Pradesh,Kinnaur,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Haryana,Gurugram,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Gujarat,Aravalli,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Karnataka,Chamarajanagar,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Rama Navami,2025-04-10,Chhattisgarh,Dantewada,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Ambedkar Jayanti,2025-04-14,Meghalaya,East Garo Hills,23.6,Light rain shower,92,3.6,2025-01-24 01:45:00
Ambedkar Jayanti,2025-04-14,Arunachal Pradesh,West Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
Ambedkar Jayanti,2025-04-14,Arunachal Pradesh,East Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
Ambedkar Jayanti,2025-04-14,Mizoram,Hnahthial,9.0,Clear,34,6.5,2025-01-24 00:00:00
Ambedkar Jayanti,2025-04-14,West Bengal,Dakshin Dinajpur,17.7,Clear,49,6.8,2025-01-23 23:45:00
Ambedkar Jayanti,2025-04-14,Tripura,Khowai,14.3,Clear,64,3.6,2025-01-23 23:30:00
Ambedkar Jayanti,2025-04-14,Assam,Chirang,15.2,Patchy rain nearby,85,3.6,2025-01-23 23:30:00
Ambedkar Jayanti,2025-04-14,Telangana,Jangaon,23.4,Mist,73,11.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Coimbatore,24.4,Mist,69,8.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Chennai,25.2,Mist,79,12.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Ariyalur,24.3,Mist,89,10.1,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Chengalpattu,25.2,Mist,79,6.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Dharmapuri,18.7,Clear,83,7.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Sikkim,West Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Sikkim,South Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Sikkim,North Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Cuddalore,24.3,Partly Cloudy,74,15.1,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Kanchipuram,25.2,Mist,79,7.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Dindigul,24.2,Mist,89,5.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tamil Nadu,Erode,22.4,Clear,75,11.5,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Churu,17.1,Clear,32,12.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Adilabad,22.0,Clear,33,4.7,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Manipur,Bishnupur,19.0,Mist,88,5.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Jagtial,21.6,Clear,43,9.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Jogulamba Gadwal,22.5,Clear,58,12.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Karimnagar,21.6,Clear,46,7.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Khammam,19.0,Clear,85,10.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Telangana,Komaram Bheem Asifabad,22.2,Clear,33,6.5,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tripura,Dhalai,13.2,Clear,69,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Sikkim,East Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Barmer,15.9,Clear,29,15.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Bundi,15.2,Clear,35,10.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Bhilwara,14.2,Clear,33,14.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Madhya Pradesh,Alirajpur,19.6,Clear,36,5.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Nagaland,Mokokchung,12.8,Clear,81,5.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Madhya Pradesh,Barwani,20.3,Clear,35,10.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Nagaland,Phek,7.0,Clear,93,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Mizoram,Mamit,8.9,Clear,61,4.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Odisha,Balangir,18.8,Clear,33,5.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Madhya Pradesh,Chhatarpur,17.7,Clear,61,10.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Odisha,Deogarh,16.9,Clear,30,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Mizoram,Aizawl,13.2,Clear,61,4.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Barnala,10.9,Clear,37,8.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Faridkot,11.6,Clear,32,11.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Fatehgarh Sahib,11.0,Clear,42,8.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Fazilka,13.0,Clear,28,10.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Jharkhand,Gumla,16.3,Clear,48,6.5,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Hoshiarpur,11.1,Clear,43,5.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Punjab,Jalandhar,10.6,Clear,38,6.8,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Ajmer,15.3,Clear,35,11.2,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Alwar,14.1,Clear,43,8.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Banswara,18.3,Clear,41,13.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Rajasthan,Baran,17.0,Clear,67,11.9,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tripura,West Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tripura,South Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Tripura,North Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Uttar Pradesh,Agra,15.0,Clear,56,11.9,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,West Bengal,Jalpaiguri,17.3,Clear,68,3.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Andaman and Nicobar Islands,Nicobar,27.2,Light rain shower,80,27.7,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Andaman and Nicobar Islands,South Andaman,27.2,Light rain shower,80,27.7,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Chandigarh,Chandigarh,12.1,Clear,40,9.0,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Dadra and Nagar Haveli and Daman and Diu,Daman,21.2,Clear,42,11.9,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Dadra and Nagar Haveli and Daman and Diu,Diu,18.8,Clear,35,17.6,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,21.2,Clear,42,11.9,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Lakshadweep,Kavaratti,27.4,Clear,72,10.1,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,Central Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,East Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,New Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,North Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,North East Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Ambedkar Jayanti,2025-04-14,Delhi,North West Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
